DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
3.385691849,82.76398574,199134858.7,272361574.3,3.033106071,50.52807012
3.388110862,82.82326329,199945566.7,272151750.7,3.029766091,50.66951668
3.386101304,82.77399874,198910485.4,271891119.6,3.027644849,50.73689226
3.38612069,82.77446753,195755738.4,271840623,3.023309931,50.70571144
3.386116203,82.77435287,199329251,273068142.9,3.040205457,50.23147016
3.386118021,82.77440145,198554512.5,261451260.1,2.920147842,55.77198654
3.386160303,82.77549094,198862501.1,271791356.9,3.02651132,50.78025869
3.386108635,82.77417687,202218439.2,244256829.7,2.748251924,66.79338404
3.386115516,82.77433992,199111004.8,272369389.7,3.032777983,50.53055874
1.566360395,38.27118399,305857417.3,232374630.6,5.947539652,38.17389898
1.280848185,31.29198508,261356191.5,185547299,5.862166337,39.42160633
2.720029468,66.45233615,167186971.8,195132668,2.741626585,67.11257355
1.421422766,34.72576031,251290619.6,186153062.9,5.268331657,42.93482185
1.353187445,33.05889863,252218786.8,185182661.6,5.511887941,41.63426267
1.417783626,34.63684624,251725868.9,186104381.5,5.281914135,42.87672918
1.42058791,34.70529139,250851193.3,186231566.3,5.27208498,42.83816677
1.421401353,34.7252128,251344676.3,186259224.9,5.271159473,42.85579166
1.421422499,34.72575468,258057830.9,185180465.2,5.263991251,43.87888503
1.421423465,34.72577448,252138062.5,185844778.4,5.263229908,43.19190877
1.421429043,34.72591446,250492707.9,186515646.3,5.274876043,42.64218309
1.421378467,34.7246468,251204535.4,186255799.8,5.270758556,42.85407921
1.421421415,34.72572738,244600097.6,193325392.9,5.424344032,38.00352775
1.421416441,34.72560453,251290567.7,186129604.5,5.267781912,42.95222584
1.421422654,34.72575801,251290588.6,186153063.4,5.268331992,42.93481725
2.764625684,67.54719351,214053984.7,218231667,3.056652092,62.55155688
2.331401948,56.94320042,170434840,169029345.5,2.815553124,68.14104517
2.735109049,66.82646936,216092257.3,218227293.3,3.092622589,61.96169758
2.668864745,65.20734129,220650994.2,217682351.9,3.169261794,61.06428056
2.764625848,67.54719883,214053939.2,218231675.2,3.056651946,62.55155272
2.869359187,70.10677075,210564348.5,219342965.1,2.953570024,63.83483631
2.534650216,61.92852299,229616983,216889215.4,3.340642024,58.93516617
2.76418675,67.5364315,213804899.5,218283572.6,3.057421962,62.4913488
2.76461419,67.54686642,214047385.4,217812504.7,3.051390587,62.89679789
2.764623465,67.54714115,213499755.6,218106195.1,3.054261067,62.6369384
2.764624055,67.54712111,213096788.5,218633760.2,3.060291886,62.19452006
2.764622811,67.5471252,215588397.6,217641477.9,3.051506415,63.08711201
2.76463214,67.54728931,214298357.9,217860341.9,3.052341825,62.86478976
2.764631113,67.54730615,205169363.5,232091058.7,3.21760547,52.75186981
2.764605534,67.54669217,214000581.3,218583441,3.061013713,62.2628902
2.516579911,61.48754974,226692496,223582214.4,3.452235866,53.61381718
2.17609561,53.15290729,175290144.1,174293738.9,3.109596658,58.65156004
2.227415233,54.40547127,171983502.6,174699132.9,3.038216545,59.51476918
2.149588231,52.50547725,177703579.7,174146201.1,3.150138148,58.16574811
2.057151951,50.24832516,181405664.4,172919644.2,3.278323661,56.9257575
2.320032619,56.66566396,165863524.2,175340584.8,2.91577037,61.11414772
2.149927326,52.51380707,177858890.3,174112261,3.149387778,58.21130984
2.149593653,52.50563154,178065878,174390994.6,3.15477173,57.95576458
2.149591042,52.50554807,180596250.4,173673319,3.14798391,58.70206318
2.149584702,52.50539415,175921751.5,180361477.8,3.247157924,52.95770923
2.149597511,52.50573725,177770575.7,174456519.2,3.155264199,57.88718926
2.149573078,52.5051078,183534721.4,168259554.1,3.066136512,64.31551627
2.149586881,52.50543817,177643896.4,174058912.1,3.148616913,58.24320642
2.149586535,52.50544968,177703698,174146209.4,3.150140993,58.16570323
2.967066108,72.45877685,127844254.7,178607973.6,2.265899403,72.04640671
3.879097764,94.8925937,148654122.9,234402995.8,2.2544605,70.54514592
2.771792369,67.70533207,165819069.8,179323057.5,2.490367402,68.14394624
2.972556874,72.59211984,126996820.9,178580481,2.260230092,72.1707633
2.967053918,72.45848271,127844131.9,178607178.4,2.265899239,72.04690166
3.052254269,74.53185637,125005557,179686208.5,2.211131161,72.84147991
2.967532827,72.47019082,127843632.3,178609497.8,2.265560014,72.05608918
2.961270409,72.31676899,133188553.7,178132376.8,2.272118085,72.59875575
2.967047635,72.45836514,127016540.6,178389194.2,2.262215456,72.236634
2.967052322,72.45844492,129482143.7,177688892.2,2.257405706,73.05362484
2.967060436,72.45864387,128215440.1,179278900.9,2.27426553,71.3876863
2.96705835,72.45859108,127205189.9,180564587.5,2.287924303,70.09553293
2.96705228,72.45841606,128265654.8,179133892.9,2.272643837,71.53379411
