input2,input6,input7,input8,input11,input13,input14
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
103893.0469,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,111389.7656,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.054891475,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.094664146,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.438295769,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,49.07164618,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.001515234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
88908.04688,77378.20313,0.03959165,0.223119798,0.678105201,42.46675524,0.003090234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
88908.04688,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,77378.20313,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.03959165,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.223119798,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.678105201,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,42.46675524,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.003090234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
103893.0469,111389.7656,0.054891475,0.094664146,0.438295769,49.07164618,0.001515234
68928.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
43953.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,86369.76563,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.020533975,0.284471751,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.05104415,0.156016099,0.851526711,17.93895721,0.003990234
68928.04688,102398.2031,0.05104415,0.284471751,0.851526711,17.93895721,0.003990234
