samples,DME flowrate,Carbon efficiency,CAPEX,OPEX,LCP,Energy efficiency
137,3.644472024,89.13500907,199193233.3,124792424.0,1.411856564,66.74303053
138,3.644471625,89.13498943,199138631.5,151796726.4,1.669075541,66.70769212
139,3.644472102,89.13500458,199138619.7,126595875.0,1.428977556,66.70769535
140,3.644472372,89.13501246,199138623.3,124459245.4,1.408621002,66.70770033
141,3.64445573,89.13460503,202312499.5,121662013.7,1.385528902,69.5538928
142,3.644462778,89.13477793,199144778.6,124832154.7,1.412184451,66.70836761
143,3.644472476,89.13501501,199138648.8,124832906.4,1.412180996,66.70770656
144,3.565983733,87.11292045,126780331.0,173024155.4,1.829747994,78.27607515
145,3.905347542,95.62180588,205753350.5,213429888.4,2.112466706,69.83839724
146,3.613010782,88.25559817,112188770.3,172119723.4,1.780768726,79.63309594
147,3.578958965,87.42464733,119370399.3,172691000.8,1.811438095,78.57208629
148,3.56599579,87.1131974,126777833.9,173024440.7,1.829741729,78.27588932
149,2.689278048,65.69929942,174439250.4,166162185.2,2.409926965,67.98220697
150,3.561979346,87.01514509,126686676.5,173020104.5,1.831658278,78.18833017
151,3.565934162,87.11170566,126718427.3,173028942.8,1.829749244,78.26684075
152,3.565986171,87.11293987,124915917.5,172669825.4,1.824164259,78.6015997
153,3.565997685,87.11326329,126801286.4,173714401.1,1.836485744,77.50123849
154,3.565995717,87.11314843,126094652.3,174332931.1,1.841701222,76.78914866
155,3.565994903,87.11319863,127671146.3,172301839.0,1.823727875,79.14480081
156,3.565999624,87.11330319,126837407.1,173268329.6,1.832182648,78.00258504
157,3.565995754,87.11319637,126777829.4,92554341.74,1.046201645,78.27588605
158,3.5659955,87.11319047,126777828.5,171261474.2,1.812575806,78.27588456
159,3.565995655,87.11319427,126777860.3,175181264.3,1.850742894,78.27589367
160,3.56599766,87.11326509,125384850.5,175081411.3,1.848176385,75.95083516
161,3.565973697,87.11268732,126679912.5,172723792.4,1.82671363,78.61399684
162,2.915869408,71.22682569,153577047.3,87766349.06,1.259933105,68.67364053
163,3.315543637,81.02522156,191251601.5,99558292.33,1.277889078,64.70827818
164,3.560573015,87.03796263,178448545.7,102266740.5,1.201695228,67.42627453
165,3.350838293,81.89113835,192343744.3,100504688.2,1.275565054,64.84691747
166,3.934170153,96.3225302,192182273.0,113184635.8,1.198176351,68.12418783
167,3.393825375,82.94317275,190370649.6,100782199.0,1.2598765,65.45579807
168,3.350892382,81.89246382,192392955.3,100497934.5,1.275534378,64.85309003
169,3.350863461,81.89175804,193298224.2,101192967.3,1.283849273,64.46140357
170,3.350836302,81.89109057,197132510.1,98476536.21,1.260378214,66.18521903
171,3.350854549,81.89157082,194390413.5,98576827.78,1.258073076,66.0590026
172,3.350828682,81.89090403,191421392.9,102031777.2,1.290270197,63.93341617
173,3.350832908,81.89099995,192353121.0,100445711.2,1.274967382,64.88201362
174,3.350838213,81.89113632,192343736.1,203755456.7,2.345475319,64.84691713
175,3.350838112,81.89113382,192343742.5,102267650.0,1.293833372,64.84691558
176,3.350838062,81.89113259,192343742.5,101618533.6,1.287107085,64.84691489
177,3.350878603,81.89212834,193534484.8,98664897.67,1.257934858,65.98521769
178,3.35084963,81.89141087,192413662.4,100712082.4,1.277794903,64.72600774
179,3.350836055,81.89108782,192343760.7,100504698.6,1.275566034,64.84686896
180,3.70213191,90.53328038,184921143.7,138375145.7,1.501536421,63.35204562
181,3.032150869,74.06831032,143936381.7,112548952.2,1.482442194,66.69264644
182,3.781085196,92.48968104,184223760.6,139015531.3,1.475311179,64.33616575
183,3.235162312,79.09424001,217260782.8,134158340.6,1.713782623,58.17231341
184,3.702130117,90.53323161,184920231.9,138375547.7,1.501539914,63.35176806
185,3.85757746,94.4069211,185926442.5,142307556.0,1.47748893,63.90914602
186,3.698159885,90.4346515,186323568.3,138147861.3,1.502561809,63.4438047
187,3.70205785,90.53146054,184927035.9,138393593.1,1.501745972,63.34103279
188,3.702129182,90.53323195,180209277.4,136341729.7,1.477275306,64.35810625
189,3.702096347,90.5323411,187838196.0,136714869.6,1.489192604,64.31150252
190,3.702121123,90.53299089,184326869.1,137282829.4,1.490641268,63.92789358
191,3.702129295,90.53321261,185244966.3,136202143.1,1.481513659,64.54027177
192,3.702113063,90.53296583,181940527.9,135603719.2,1.472267161,64.80255529
193,3.70213008,90.53323238,184920165.4,192230373.3,2.006643453,63.35173317
194,3.702130239,90.53323697,184920244.6,136612659.6,1.485005778,63.35172752
195,3.70213031,90.53323869,184920287.4,136894651.7,1.487650596,63.35172819
196,3.702102775,90.53249896,185781330.3,132382404.1,1.446289624,66.73960974
197,3.702128571,90.53323069,186728623.0,139790824.4,1.516806624,62.64142653
198,3.801869192,93.03910549,198500512.2,182132478.3,1.876345625,70.63119245
199,3.010095296,73.54419489,161007828.8,141924560.7,1.855290098,73.14534704
200,3.336775096,81.51022543,125221804.0,142177811.0,1.632546819,78.90267453
201,3.116457202,76.14288794,150546860.1,142161975.6,1.780925768,74.93396402
202,2.779329436,67.90725346,169960583.5,139122223.7,1.987461436,71.07572635
203,3.116759127,76.15029624,150891628.2,142177183.0,1.781373813,74.93923866
204,3.116513856,76.14426494,150548385.3,142155289.6,1.780820897,74.94292452
205,3.116466657,76.14311932,151737523.2,143134561.9,1.793314666,73.90273055
206,3.116468803,76.14317174,146570235.6,143645890.0,1.792248083,73.13597776
