formulation,productivity,capex,opex,batches,batch time,cycle time,cost
2.994847763,0.059250569,54079618.61,172460.055,248,383890.3818,113588.2031,2910.69026
2.994847763,0.059250569,54218190.41,173570.3078,248,392827.3706,113588.2031,2929.428524
2.994847763,0.059250569,54141369.98,172735.5154,248,384049.5965,113588.2031,2915.339337
2.820658437,0.056927321,54547941.5,174231.8399,248,384049.5965,113588.2031,3060.601413
2.544950113,0.059250569,57491640.96,185504.1989,248,384049.5965,113588.2031,3130.842473
2.994847763,0.059250569,54141370.03,172735.518,248,384049.5965,113588.2031,2915.33938
2.385008412,0.082695465,71387936.34,261035.03,191,444069.591,147599.7656,3156.582174
2.385008412,0.082695465,71354629.46,259704.0177,191,423457.8209,147599.7656,3140.486826
2.385008414,0.083174931,71553038.94,261632.0971,191,438351.662,147599.7656,3145.564347
2.385008412,0.091899814,74632175.46,276281.6379,191,436773.4618,147599.7656,3006.335107
2.385008412,0.08270226,71369936.6,260819.1245,191,438440.3857,147599.7656,3153.712182
2.385008412,0.08270226,72154418.91,241910.3117,246,404481.6253,114541.884,2925.074987
2.385008412,0.08270226,71369832.24,260812.506,191,438418.0395,147599.7656,3153.632154
2.385008412,0.047396757,57048480.41,200125.3587,191,450855.7644,147599.7656,4222.342831
2.385008412,0.082275336,71223778.14,260109.3799,191,438531.3403,147599.7656,3161.450229
2.385008414,0.082699164,71380251.74,260927.4954,191,438562.4185,147599.7656,3155.140673
2.385008412,0.082699164,67656605.7,249963.2978,191,431415.6226,147599.7656,3022.561368
2.385008412,0.082699164,71369866.84,260814.809,191,438441.0328,147599.7656,3153.778066
2.385008412,0.082699164,71441116.52,261275.1323,191,438926.0369,147599.7656,3159.344306
2.385008412,0.082699164,71277578.93,259816.0755,191,428768.5888,147599.7656,3141.701361
2.385008412,0.082699164,71369869.07,260814.9749,191,438441.0328,147599.7656,3153.780073
2.544950113,0.086074181,70688892.7,257617.4748,191,438441.0328,147599.7656,2992.970397
2.820658437,0.082699164,67012727.77,240882.1773,191,438441.0328,147599.7656,2912.752272
2.385008412,0.082699164,71369869.07,260814.975,191,438441.0328,147599.7656,3153.780074
2.385008412,0.082699164,71369868.87,260814.9591,191,438441.0328,147599.7656,3153.779882
3.218574905,0.075066803,62046579.03,230927.6727,172,451197.5666,163628.2031,3076.295553
3.218574905,0.075066803,62036379.57,230709.9296,172,445569.791,163628.2031,3073.394895
3.218574905,0.075066803,62052707.84,232025.3524,172,466181.2195,163628.2031,3090.918257
3.218574905,0.075066803,62054466.8,230943.2803,172,451207.2405,163628.2031,3076.503469
3.218574905,0.078508767,63211092.9,235480.2751,172,449744.7955,163628.2031,2999.413766
3.218574905,0.07557967,62194410.03,231574.3925,172,450966.9201,163628.2031,3063.977301
3.218574905,0.075171935,62546980.42,211442.3605,216,385183.1409,130417.2452,2812.783276
3.218574905,0.08124191,63983376.65,238907.2251,172,448635.3341,163628.2031,2940.689434
3.218574905,0.062351249,57559454.44,213821.8526,172,457449.4822,163628.2031,3429.311437
3.218574905,0.075501883,62171113.97,231475.3776,172,451001.5918,163628.2031,3065.822577
3.218574905,0.075066803,62038718.53,230904.4572,172,451175.9741,163628.2031,3075.986288
3.218574905,0.075066803,56527494.58,211118.6407,172,432834.5501,163628.2031,2812.410171
3.218574905,0.075066803,62038790.86,230918.7984,172,451197.5666,163628.2031,3076.177335
